Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;22;0,9836681;2;1;Odd;Right;Right;0,9725422
2;22;0,9163595;2;7;Odd;Right;Right;0,9054406
3;22;0,8588406;2;9;Odd;Right;Right;0,8477297
4;22;1,003308;2;8;Even;Left;Left;0,9922209
5;22;0,8159698;2;3;Odd;Right;Right;0,8050786
6;22;0,7258887;2;4;Even;Left;Left;0,7146261
7;22;0,9276547;2;6;Even;Left;Left;0,9165185
8;22;0,9613268;2;2;Even;Left;Left;0,8608848
10;22;0,9383731;2;8;Even;Left;Left;0,9269932
11;22;0,9715415;2;4;Even;Left;Left;0,9489958
12;22;1,789213;2;9;Odd;Right;Right;1,777965
13;22;1,921836;2;2;Even;Left;Left;1,910714
14;22;1,152818;2;6;Even;Left;Left;1,118872
15;22;1,061376;2;1;Odd;Right;Right;1,05036
16;22;0,9042668;2;3;Odd;Right;Right;0,8928586
17;22;0,960966;2;7;Odd;Right;Right;0,9177093
19;22;2,972801;2;8;Even;Left;Left;2,916011
20;22;7,507135;2;2;Even;Left;Left;7,495697
21;22;1,600953;2;4;Even;Left;Left;1,589036
22;22;0,7933783;2;9;Odd;Right;Right;0,6368185
23;22;0,7380662;2;7;Odd;Right;Right;0,7154779
24;22;0,9158118;2;3;Odd;Right;Right;0,9050707
25;22;0,8371221;2;1;Odd;Right;Right;0,7256079
26;22;1,037953;2;6;Even;Left;Left;1,026724
28;22;3,396487;2;3;Odd;Right;Right;3,385706
29;22;1,441711;2;2;Even;Left;Left;1,34112
30;22;1,720108;2;8;Even;Left;Left;1,664245
31;22;0,9599668;2;7;Odd;Right;Right;0,9494367
32;22;1,600388;2;6;Even;Left;Left;1,464861
33;22;1,31895;2;4;Even;Left;Left;1,218459
34;22;0,8933881;2;1;Odd;Right;Right;0,8824328
35;22;1,141269;2;9;Odd;Right;Right;1,096713
37;22;2,133559;2;8;Even;Left;Left;2,055027
38;22;0,7901033;2;1;Odd;Right;Right;0,7761047
39;22;1,678135;2;6;Even;Left;Left;1,599381
40;22;0,9938457;2;9;Odd;Right;Right;0,9822665
41;22;1,083821;2;4;Even;Left;Left;1,038937
42;22;1,180805;2;2;Even;Left;Left;1,172992
43;22;0,8595621;2;7;Odd;Right;Right;0,8375013
44;22;0,848428;2;3;Odd;Right;Right;0,8376659
46;22;0,7595667;2;9;Odd;Right;Right;0,7262027
47;22;1,127607;2;4;Even;Left;Left;1,116248
48;22;0,7599005;2;1;Odd;Right;Right;0,7040336
49;22;1,218211;2;8;Even;Left;Left;1,206788
50;22;0,7496534;2;7;Odd;Right;Right;0,7387152
51;22;0,8505136;2;6;Even;Left;Left;0,7942879
52;22;0,6818249;2;3;Odd;Right;Right;0,6703868
53;22;1,498475;2;2;Even;Left;Left;1,487123
55;22;0,8401805;2;2;Even;Left;Left;0,8171803
